,feature,type,Chinese,French,German,Italian,Japanese,Korean,Portuguese,Russian,Spanish,Turkish
5,wordngrams,train,(.17 .28 .21),(.19 .12 .15),(.2 .1 .14),(.23 .28 .25),(.18 .22 .2),(.18 .17 .17),(.23 .1 .14),(.16 .22 .18),(.22 .3 .25),(.21 .1 .13)
9,wordngrams,test,(.09 .11 .1),(.25 .16 .2),(.13 .07 .09),(.1 .13 .11),(.24 .28 .26),(.14 .14 .14),(.29 .09 .14),(.14 .27 .18),(.24 .4 .3),(.15 .08 .11)
6,posngrams,train,(.24 .24 .24),(.27 .07 .11),(.26 .23 .24),(.19 .23 .21),(.25 .15 .19),(.24 .24 .24),(.24 .1 .14),(.18 .34 .24),(.21 .44 .28),(.26 .13 .17)
1,posngrams,test,(.15 .18 .16),(.29 .04 .06),(.22 .15 .18),(.14 .22 .17),(.07 .04 .05),(.14 .14 .14),(.12 .04 .05),(.12 .29 .17),(.14 .3 .19),(.07 .04 .05)
2,funcwords,train,(.24 .26 .25),(.21 .2 .2),(.22 .22 .22),(.23 .27 .25),(.24 .2 .21),(.24 .25 .24),(.28 .21 .24),(.21 .22 .21),(.22 .32 .26),(.22 .13 .17)
3,funcwords,test,(.1 .11 .1),(.17 .15 .16),(.11 .08 .09),(.17 .2 .18),(.13 .11 .12),(.12 .14 .13),(.2 .12 .15),(.08 .12 .1),(.19 .34 .25),(.31 .16 .21)
8,doc2vec,train,(.32 .46 .38),(.43 .35 .39),(.37 .37 .37),(.44 .41 .42),(.32 .39 .35),(.33 .38 .35),(.5 .38 .43),(.39 .31 .35),(.48 .42 .45),(.38 .38 .38)
7,doc2vec,test,(.15 .16 .15),(.11 .07 .09),(.13 .12 .12),(.15 .18 .16),(.12 .17 .15),(.06 .09 .07),(.08 .04 .05),(.13 .15 .14),(.19 .21 .2),(.17 .16 .17)
0,charngrams,train,(.24 .28 .26),(.27 .08 .13),(.26 .23 .24),(.22 .25 .24),(.22 .11 .15),(.21 .24 .22),(.27 .21 .24),(.18 .39 .25),(.24 .37 .29),(.2 .04 .07)
4,charngrams,test,(.12 .11 .11),(.2 .09 .13),(.07 .03 .05),(.13 .16 .14),(.0 .0 .0),(.18 .27 .22),(.19 .12 .15),(.15 .46 .23),(.24 .45 .32),(.57 .08 .14)
