,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__C,param_union__charngrams__reduce_dim__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,2.196500062942505,0.21209707260131835,0.10790494665373423,0.10990577531387809,0.1,50,"{'union__charngrams__reduce_dim__n_components': 50, 'clf__C': 0.1}",10,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.12484848484848485,0.1342831160957866,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.06552829974037502,0.0010625060738904237,0.008474378437380909,0.012188727636644484
1,4.7705987930297855,0.3394019603729248,0.10790494665373423,0.11014827304046189,0.1,100,"{'union__charngrams__reduce_dim__n_components': 100, 'clf__C': 0.1}",10,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.12484848484848485,0.13549560472870567,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.07002588160082107,0.0020242269068677723,0.008474378437380909,0.01267372089914551
2,9.658858489990234,0.6001590251922607,0.10911736178467507,0.11117888837844311,0.1,200,"{'union__charngrams__reduce_dim__n_components': 200, 'clf__C': 0.1}",7,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.13090909090909092,0.1406486814186117,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.17419688512373402,0.002286701522885163,0.010898546421369318,0.014734943873614459
3,2.1225481986999513,0.21539616584777832,0.10766246362754607,0.10960265315564832,1,50,"{'union__charngrams__reduce_dim__n_components': 50, 'clf__C': 1}",12,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.12363636363636364,0.13276750530463777,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.059564361189372875,0.009126890445240104,0.007989566313009946,0.011582486316508697
4,4.786770677566528,0.3365590572357178,0.1088748787584869,0.10996639974552402,1,100,"{'union__charngrams__reduce_dim__n_components': 100, 'clf__C': 1}",9,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.1296969696969697,0.13458623825401636,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.09625775822493642,0.0017350726559078467,0.010413701841922123,0.01230997593608681
5,9.444987249374389,0.5983031272888184,0.10911736178467507,0.11136076167338098,1,200,"{'union__charngrams__reduce_dim__n_components': 200, 'clf__C': 1}",7,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.13090909090909092,0.141558047893301,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.41949346795777115,0.0026016215005570226,0.010898546421369318,0.015098689322683581
6,2.110362911224365,0.21096334457397461,0.12754607177497576,0.1768934786320715,10,50,"{'union__charngrams__reduce_dim__n_components': 50, 'clf__C': 10}",4,0.14354644149577805,0.16843702579666162,0.1111111111111111,0.19114077669902912,0.12848484848484848,0.1770233404061837,0.12773722627737227,0.17504542701393094,0.12682926829268293,0.17282082324455206,0.08842970832394892,0.0009750803231913496,0.01029465984027015,0.007674839119296573
7,4.669075202941895,0.33638458251953124,0.12293889427740058,0.15106777740505292,10,100,"{'union__charngrams__reduce_dim__n_components': 100, 'clf__C': 10}",5,0.12665862484921592,0.14901365705614567,0.11714975845410629,0.16019417475728157,0.12848484848484848,0.14367990300090935,0.12165450121654502,0.14930345245305876,0.12073170731707317,0.15314769975786924,0.10082445666989803,0.0014317588724004535,0.004118335253482906,0.005468640540023356
8,9.415799140930176,0.6012012958526611,0.11008729388942774,0.11621254095497244,10,200,"{'union__charngrams__reduce_dim__n_components': 200, 'clf__C': 10}",6,0.10132689987937274,0.10925644916540213,0.10628019323671498,0.11529126213592233,0.13090909090909092,0.14186117005153076,0.10827250608272507,0.10811629315566323,0.10365853658536585,0.10653753026634383,0.09959698296851144,0.005891216808566121,0.010674348520775753,0.013162394937343835
9,2.04097638130188,0.22063331604003905,0.1309408341416101,0.1966565305497095,20,50,"{'union__charngrams__reduce_dim__n_components': 50, 'clf__C': 20}",2,0.12424607961399277,0.1960546282245827,0.11473429951690821,0.19902912621359223,0.13818181818181818,0.20309184601394362,0.13746958637469586,0.1968503937007874,0.1402439024390244,0.18825665859564164,0.049741298329813596,0.014776887387868422,0.009896328903178837,0.00485798751508401
10,4.773851490020752,0.336483097076416,0.13821532492725508,0.2249062789355536,20,100,"{'union__charngrams__reduce_dim__n_components': 100, 'clf__C': 20}",1,0.15078407720144751,0.22458270106221548,0.11231884057971014,0.23118932038834952,0.13818181818181818,0.2240072749317975,0.15693430656934307,0.2304663840096911,0.1329268292682927,0.21428571428571427,0.12019931129372781,0.0015428186446222632,0.015550080432230537,0.006067959832650539
11,9.466370010375977,0.6013490676879882,0.13045586808923376,0.1770727470662086,20,200,"{'union__charngrams__reduce_dim__n_components': 200, 'clf__C': 20}",3,0.14234016887816647,0.17025796661608497,0.11594202898550725,0.19023058252427186,0.13818181818181818,0.1670203091846014,0.12287104622871046,0.17625681405208965,0.1329268292682927,0.18159806295399517,0.4512242794703656,0.005384524697329245,0.009762517273972668,0.00826759462547854
