,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__C,param_clf__kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,10.836771726608276,1.6051951408386231,0.14936954413191075,0.32734834622997705,0.1,linear,"{'clf__C': 0.1, 'clf__kernel': 'linear'}",3,0.14957780458383596,0.3289833080424886,0.1473429951690821,0.32008495145631066,0.16242424242424242,0.3294937859957563,0.14841849148418493,0.31284070260448216,0.13902439024390245,0.3453389830508475,0.11271267538754007,0.032600060947314144,0.00750911065602734,0.010901079325827363
1,12.127807474136352,1.630279779434204,0.10354025218234723,0.10438895203409633,0.1,poly,"{'clf__C': 0.1, 'clf__kernel': 'poly'}",9,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.10303030303030303,0.10669899969687784,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.07210304376786417,0.007344910482040492,0.0002957949631075741,0.00115562777400706
2,13.368519592285157,1.7273584842681884,0.10548011639185258,0.1110576395151512,0.1,rbf,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",8,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.11272727272727273,0.14004243710215217,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.11413600673324543,0.061210848369798676,0.003627225075350725,0.014492446939382949
3,12.776952171325684,1.6008297443389892,0.14936954413191075,0.43089507582233466,1,linear,"{'clf__C': 1, 'clf__kernel': 'linear'}",3,0.14837153196622438,0.43429438543247345,0.14492753623188406,0.433252427184466,0.1696969696969697,0.4380115186420127,0.15085158150851583,0.4109630526953362,0.1329268292682927,0.437953995157385,0.05743111954651858,0.03704762530795275,0.011875116511657463,0.010147611125677032
4,12.259294605255127,1.6402771949768067,0.10354025218234723,0.10438895203409633,1,poly,"{'clf__C': 1, 'clf__kernel': 'poly'}",9,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.10303030303030303,0.10669899969687784,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.11557891148066453,0.01679183665408446,0.0002957949631075741,0.00115562777400706
5,13.215724611282349,1.7794008255004883,0.13506304558680893,0.1959871518223365,1,rbf,"{'clf__C': 1, 'clf__kernel': 'rbf'}",7,0.12303980699638119,0.2024279210925645,0.14251207729468598,0.19447815533980584,0.14181818181818182,0.1930888147923613,0.13503649635036497,0.1823137492428831,0.1329268292682927,0.2076271186440678,0.07937571581749403,0.022239927884341676,0.007087710850830566,0.008655769202407569
6,38.79122266769409,1.5866099834442138,0.1447623666343356,0.5515296850407194,10,linear,"{'clf__C': 10, 'clf__kernel': 'linear'}",5,0.15440289505428226,0.5559939301972686,0.14251207729468598,0.5527912621359223,0.15515151515151515,0.5525916944528645,0.13746958637469586,0.5405814657783161,0.13414634146341464,0.5556900726392252,2.0500979751004675,0.038964942627388616,0.008619806210182048,0.005653693581436082
7,12.28256516456604,1.645956039428711,0.10354025218234723,0.10438895203409633,10,poly,"{'clf__C': 10, 'clf__kernel': 'poly'}",9,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.10303030303030303,0.10669899969687784,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.26219812122028147,0.02696216802622255,0.0002957949631075741,0.00115562777400706
8,12.020937776565551,1.7238340377807617,0.1585838991270611,0.34838806041329085,10,rbf,"{'clf__C': 10, 'clf__kernel': 'rbf'}",2,0.15319662243667068,0.35629742033383915,0.16304347826086957,0.34648058252427183,0.1696969696969697,0.34434677174901485,0.1654501216545012,0.33525136281041795,0.14146341463414633,0.3595641646489104,0.10658720470072591,0.054987909334705994,0.010109955452646025,0.008717873480529957
9,70.78827843666076,1.489771842956543,0.14354995150339475,0.5897834687142263,20,linear,"{'clf__C': 20, 'clf__kernel': 'linear'}",6,0.14475271411338964,0.6021244309559939,0.14371980676328502,0.5888956310679612,0.16606060606060605,0.588360109123977,0.13381995133819952,0.5754088431253785,0.12926829268292683,0.5941283292978208,1.8665952400053112,0.1448949509660365,0.012692247249150093,0.008724920991876581
10,12.424778366088868,1.640091323852539,0.10354025218234723,0.10438895203409633,20,poly,"{'clf__C': 20, 'clf__kernel': 'poly'}",9,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.10303030303030303,0.10669899969687784,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.16559927085207873,0.008696406330783604,0.0002957949631075741,0.00115562777400706
11,11.757939910888672,1.7459157943725585,0.15979631425800195,0.4124058355970508,20,rbf,"{'clf__C': 20, 'clf__kernel': 'rbf'}",1,0.15560916767189384,0.41942336874051594,0.14855072463768115,0.41110436893203883,0.17454545454545456,0.41770233404061835,0.170316301703163,0.3961235614778922,0.15,0.41767554479418884,0.18679402243565063,0.04314924861854387,0.010657100985932647,0.008624091467236491
