,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__C,param_union__funcwords__reduce_dim__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.7741456031799316,0.10700602531433105,0.10354025218234723,0.10735954918474806,0.1,10,"{'union__funcwords__reduce_dim__n_components': 10, 'clf__C': 0.1}",12,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.10303030303030303,0.1215519854501364,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.011406938319610737,0.00046816775541901507,0.0002957949631075741,0.0070963164591042295
1,1.7891804695129394,0.20504231452941896,0.1037827352085354,0.10960265315564832,0.1,50,"{'union__funcwords__reduce_dim__n_components': 50, 'clf__C': 0.1}",10,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.10424242424242425,0.13276750530463777,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.03077689091140568,0.0007046630634203959,0.0002744220010365854,0.011582486316508697
2,4.127348470687866,0.32990612983703616,0.10402521823472356,0.11002702417717,0.1,100,"{'union__funcwords__reduce_dim__n_components': 100, 'clf__C': 0.1}",8,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.10545454545454545,0.13488936041224614,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.08391717178498688,0.0019206840302328626,0.0007303162413443458,0.012431224246528216
3,0.7681021690368652,0.10582485198974609,0.11784675072744907,0.13749319652569741,1,10,"{'union__funcwords__reduce_dim__n_components': 10, 'clf__C': 1}",7,0.1218335343787696,0.14051593323216996,0.10869565217391304,0.14472087378640777,0.11151515151515151,0.13852682631100333,0.12043795620437957,0.1362810417928528,0.12682926829268293,0.12742130750605327,0.002346795505710987,0.0005922551042986191,0.006738684887580855,0.005750772362650144
4,1.8531699657440186,0.21147541999816893,0.1037827352085354,0.10966346107528353,1,50,"{'union__funcwords__reduce_dim__n_components': 50, 'clf__C': 1}",10,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.10424242424242425,0.13367687177932708,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.10320823244552058,0.059880088885945836,0.014340367727025497,0.0002744220010365854,0.012009030721960556
5,4.235748672485352,0.3297088623046875,0.10402521823472356,0.10996639974552402,1,100,"{'union__funcwords__reduce_dim__n_components': 100, 'clf__C': 1}",8,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.10545454545454545,0.13458623825401636,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.08891913589404166,0.0010486654386951952,0.0007303162413443458,0.01230997593608681
6,0.7735707759857178,0.10679073333740234,0.12366634335596509,0.15270590349580243,10,10,"{'union__funcwords__reduce_dim__n_components': 10, 'clf__C': 10}",6,0.13027744270205066,0.1526555386949924,0.11835748792270531,0.15685679611650485,0.12727272727272726,0.15277356774780237,0.11313868613138686,0.15445184736523318,0.12926829268292683,0.14679176755447942,0.004882301216719301,0.0007838200907704028,0.006736262648454169,0.0033245254861532514
7,1.792942476272583,0.2107999801635742,0.12948593598448108,0.1974421176648879,10,50,"{'union__funcwords__reduce_dim__n_components': 50, 'clf__C': 10}",3,0.13268998793727382,0.20121396054628224,0.10628019323671498,0.1953883495145631,0.12848484848484848,0.19460442558351015,0.1362530413625304,0.19836462749848577,0.14390243902439023,0.19763922518159807,0.05714827744195407,0.01068428577863912,0.012682118886464522,0.002340390328648453
8,4.103599262237549,0.3287092685699463,0.13627546071774976,0.21617352487244795,10,100,"{'union__funcwords__reduce_dim__n_components': 100, 'clf__C': 10}",2,0.14354644149577805,0.21790591805766313,0.11231884057971014,0.2154126213592233,0.13696969696969696,0.2124886329190664,0.14233576642335766,0.21986674742580253,0.14634146341463414,0.21519370460048426,0.15824714084701114,0.0012917144973465463,0.012386299839533694,0.002520259098056061
9,0.7830924034118653,0.10582246780395507,0.12900096993210475,0.15422164386609313,20,10,"{'union__funcwords__reduce_dim__n_components': 10, 'clf__C': 20}",5,0.1399276236429433,0.15720789074355082,0.11594202898550725,0.15382281553398058,0.13090909090909092,0.15550166717187025,0.1192214111922141,0.15929739551786795,0.13902439024390245,0.14527845036319612,0.008624852728086857,0.0005194372262075668,0.009899883462144014,0.004826161186195676
10,1.8066300868988037,0.2112361431121826,0.12948593598448108,0.20671926134239932,20,50,"{'union__funcwords__reduce_dim__n_components': 50, 'clf__C': 20}",3,0.13630880579010857,0.21122913505311078,0.10507246376811594,0.20449029126213591,0.12242424242424242,0.20885116702030918,0.13990267639902676,0.2104784978800727,0.14390243902439023,0.19854721549636803,0.026408493051956493,0.014440335974253947,0.014211012502144156,0.004706728863671581
11,4.015062379837036,0.32843384742736814,0.13845780795344326,0.23290316825818885,20,100,"{'union__funcwords__reduce_dim__n_components': 100, 'clf__C': 20}",1,0.14957780458383596,0.23763277693474963,0.11594202898550725,0.2266383495145631,0.14424242424242426,0.22612913003940588,0.1411192214111922,0.23894609327680194,0.14146341463414633,0.23516949152542374,0.20725103466943962,0.0013221360251757593,0.011685214899991109,0.005461829544129076
